"[p: 10, c: 0.55, m: 0.05]","[p: 40, c: 0.55, m: 0.05]","[p: 70, c: 0.55, m: 0.05]"
0.5199799107142857,0.5152942708333333,0.5168428996598639
0.7397886904761906,0.8867953869047621,0.9127202380952382
0.7335684523809524,0.8993703497023811,0.9125836522108843
0.8017715773809524,0.8985059523809525,0.9165712159863941
0.7929985119047618,0.8869224330357142,0.9204894770408165
0.8302425595238097,0.8901726190476191,0.9146973852040817
0.7941428571428573,0.894414992559524,0.9077797619047618
0.7883950892857143,0.9009064360119048,0.9159516369047619
0.7844508928571429,0.8980124627976191,0.917439732142857
0.7568749999999999,0.8982844122023812,0.9123214285714287
0.7856755952380954,0.9012167038690476,0.9050076530612247
"[p: 10, c: 0.55, m: 0.12]","[p: 40, c: 0.55, m: 0.12]","[p: 70, c: 0.55, m: 0.12]"
0.5077284226190476,0.5204004836309524,0.5153185586734694
0.7581629464285714,0.8656609002976191,0.8569136904761903
0.7904568452380951,0.8404886532738095,0.8576616709183671
0.7267075892857144,0.8408011532738093,0.8541712372448977
0.7054769345238094,0.853241443452381,0.8408621386054419
0.7238578869047619,0.844300037202381,0.8611955782312926
0.7391860119047619,0.8417925967261907,0.8641996173469387
0.7557931547619046,0.8562196800595239,0.8598339710884353
0.7387641369047621,0.8514175967261904,0.8734550382653061
0.7748578869047619,0.8387488839285716,0.8615146683673467
0.7277857142857144,0.8417031250000001,0.8608116496598639
"[p: 10, c: 0.55, m: 0.2]","[p: 40, c: 0.55, m: 0.2]","[p: 70, c: 0.55, m: 0.2]"
0.513390625,0.5251575520833334,0.5184081632653061
0.7233355654761905,0.8015130208333334,0.8144042304421768
0.7058965773809524,0.7951199776785716,0.8258393920068027
0.7108876488095237,0.8138967633928573,0.8258574617346939
0.7146049107142857,0.8041960565476192,0.8245227465986396
0.7214516369047617,0.8115835193452383,0.8131481717687075
0.7309784226190479,0.814185825892857,0.8236294642857143
0.7350892857142857,0.7996623883928572,0.8060858843537415
0.7456502976190477,0.8134313616071429,0.8223375850340137
0.7072782738095238,0.8044838169642858,0.8181067176870748
0.7173028273809523,0.8000636160714285,0.8268675595238095
"[p: 10, c: 0.75, m: 0.05]","[p: 40, c: 0.75, m: 0.05]","[p: 70, c: 0.75, m: 0.05]"
0.5179360119047619,0.5184667038690477,0.518438988095238
0.7536778273809523,0.8957756696428572,0.9118001700680269
0.8101904761904761,0.8965377604166667,0.9190328443877547
0.7477395833333333,0.893264880952381,0.9153810586734694
0.7777306547619047,0.8915438988095241,0.9052599914965984
0.7887767857142858,0.9043013392857142,0.8995884353741495
0.7973221726190476,0.8836011904761907,0.9088208971088434
0.7850290178571429,0.9022957589285715,0.9067119472789116
0.8159181547619048,0.8929216889880951,0.9045247661564627
0.8351741071428572,0.8863537946428572,0.9158397108843538
0.8336755952380951,0.899946242559524,0.9156151147959184
"[p: 10, c: 0.75, m: 0.12]","[p: 40, c: 0.75, m: 0.12]","[p: 70, c: 0.75, m: 0.12]"
0.5116331845238096,0.5171095610119049,0.5132536139455782
0.7582157738095238,0.8431017485119048,0.8556276573129253
0.76378125,0.8339122023809524,0.8474140093537414
0.7595498511904761,0.8589008556547618,0.8560579294217687
0.7420706845238094,0.840914248511905,0.8529483418367345
0.7675357142857144,0.8495615699404763,0.8633152636054422
0.7215208333333333,0.8326954985119048,0.8684429209183673
0.7336049107142857,0.8484365699404762,0.8575204081632652
0.748233630952381,0.851612537202381,0.8577324617346938
0.766467261904762,0.8401910342261907,0.8632576530612243
0.7635319940476191,0.8479970238095238,0.8641060799319729
"[p: 10, c: 0.75, m: 0.2]","[p: 40, c: 0.75, m: 0.2]","[p: 70, c: 0.75, m: 0.2]"
0.5151979166666666,0.5162868303571428,0.5132999574829933
0.7264955357142857,0.8116454613095238,0.8151678358843537
0.7239352678571429,0.8085212053571429,0.8216255314625849
0.6986235119047619,0.8112103794642858,0.809675382653061
0.7438072916666668,0.8048904389880953,0.8086877125850338
0.7486763392857142,0.7997604166666669,0.8179413265306122
0.7104404761904763,0.7984821428571427,0.8245894982993196
0.7378489583333332,0.8128270089285714,0.8163993409863947
0.7099270833333333,0.8086692708333334,0.8244654549319728
0.7079330357142857,0.8092140997023811,0.823438881802721
0.7442790178571429,0.8151835937499999,0.8129658801020406
"[p: 10, c: 0.95, m: 0.05]","[p: 40, c: 0.95, m: 0.05]","[p: 70, c: 0.95, m: 0.05]"
0.5137031249999999,0.5141848958333333,0.5143799957482994
0.6991302083333333,0.8910027901785712,0.9176066113945579
0.7608058035714287,0.9119555431547619,0.9203051658163265
0.7739791666666664,0.9075072544642857,0.9144685374149658
0.7748630952380952,0.9033072916666667,0.9200020195578231
0.8020409226190477,0.8903264508928572,0.9208831845238092
0.8055081845238095,0.8820474330357143,0.9016999362244895
0.7881309523809523,0.9023130580357142,0.9155020195578232
0.7978497023809522,0.8980846354166665,0.9157123724489793
0.8108802083333334,0.8807581845238095,0.918154230442177
0.7590066964285714,0.8902576264880955,0.9149310161564623
"[p: 10, c: 0.95, m: 0.12]","[p: 40, c: 0.95, m: 0.12]","[p: 70, c: 0.95, m: 0.12]"
0.5231316964285714,0.51453515625,0.5157408588435374
0.7361205357142857,0.8466564360119049,0.8725545280612244
0.7334836309523809,0.8433184523809526,0.8593216411564624
0.7367901785714286,0.8457669270833333,0.8658875425170068
0.7281540178571428,0.8482431175595238,0.8620903486394557
0.7521532738095238,0.8525035342261905,0.8734117772108844
0.7269330357142857,0.8395066964285712,0.8587396896258502
0.7519508928571428,0.8537501860119049,0.8577680697278909
0.7522038690476192,0.8525779389880954,0.8718693664965989
0.7087261904761905,0.8592723214285718,0.8710189200680268
0.7780133928571429,0.8428335193452382,0.8640153061224488
"[p: 10, c: 0.95, m: 0.2]","[p: 40, c: 0.95, m: 0.2]","[p: 70, c: 0.95, m: 0.2]"
0.5118683035714287,0.5162829241071429,0.5144211309523811
0.6933883928571427,0.7964183407738096,0.8290346513605442
0.7165327380952381,0.8111726190476191,0.8106035289115647
0.6764263392857142,0.8080223214285714,0.8219515306122448
0.6898511904761905,0.8161631324404761,0.8139664115646259
0.687029761904762,0.8054534970238094,0.815688456632653
0.7244069940476191,0.8085403645833333,0.8175943877551021
0.7084144345238094,0.8220548735119048,0.8378026147959184
0.6792998511904762,0.8058820684523811,0.8285507015306124
0.7103556547619047,0.8210613839285715,0.823828018707483
0.7490052083333334,0.8108694196428571,0.8131712372448978
